Epoch,Avg KL Divergence,Avg Jensen-Shannon Divergence,Avg Jensen-Shannon Distance
1,168.35616205620954,30.470349837475876,4.834612888614024
2,246.92599718589483,35.90859738672812,5.335537877139144
3,280.7286405488262,38.72845076388261,5.538443761547719
4,292.91663027185155,39.0355366459043,5.56608283707476
5,295.4098435349352,40.571423643217315,5.663506479713861
6,318.17613667765943,41.47196116785365,5.747219506211168
7,321.99977406178874,41.411595971565546,5.748753642472695
8,329.62905138871804,42.15353755124911,5.809631717486645
9,340.24995010856566,42.92918819893063,5.880610623697597
10,364.9337906124085,44.49130498330424,5.992012537370517
11,360.68983861968275,44.62133725984829,5.996423654668913
12,355.35222857017214,44.15313704933707,5.9895906617322305
13,348.7083335035429,42.98839968583715,5.904374146086025
14,357.8115056556041,44.45935640560361,6.01423689793414
15,381.65802836981345,46.57306799926157,6.164054658469253
16,379.9676984651821,46.107440640607216,6.122293568032933
17,393.0060069467139,45.36124813650537,6.054466913065572
18,409.62588801346425,46.3394088707571,6.13666615805288
19,368.3743394866703,44.907422936807464,6.038726024740324
20,368.5519758209469,44.31724763855221,6.004061495225261
21,369.3074664318655,44.53672870876282,6.0631245365293
22,360.38556938471754,43.373744746831456,5.967020309816196
23,354.08665982944757,42.85091387005303,5.918498530162601
24,367.52358450101116,43.47612298755195,5.964434288618133
25,397.86764637504035,43.489862802460436,5.965758745125898
26,380.1838571443333,43.05304728155061,5.934141728821702
27,389.55679753821664,43.98209828654612,6.0040730885633335
28,424.416323564184,44.49750011173759,6.022499136098727
29,409.88836714977356,43.834320699136086,5.980571988999374
30,392.85963548074557,43.76882053735688,5.971379164635666
31,390.5732516791877,43.88032291442391,5.99644824557417
32,379.27795491256114,43.98862589438131,6.002310837347676
33,377.9269313361701,43.55471006904062,5.978292577848659
34,381.5444263247993,43.582080116422155,5.976302380636921
35,375.7556161655216,44.287356361629456,5.998139514697819
36,361.7589508717454,42.366010669648176,5.866609302092725
37,371.16425798070713,42.596850196207605,5.896519575532027
38,371.08674062894084,42.274359316337765,5.872425441666851
39,374.9988023953175,42.1518145733931,5.842613360074561
40,396.14370589368923,44.10327119151438,5.97270780379378
41,401.1548426170049,43.216911105659065,5.918582877774877
42,371.05678531316323,41.94912819599542,5.846198576641834
43,374.42727745236374,42.098126554113676,5.854306828318618
44,412.11693419809416,43.59536635406374,5.963133593243877
45,391.84788891649623,42.25350191086296,5.856004497197669
46,380.97733234796,43.08350572060412,5.906666797915782
47,374.18623451172834,44.08913967553086,5.961469313291114
48,358.03453069972244,42.87351802765854,5.87915930785532
49,366.7921893202414,43.49789842094962,5.90949733144655
50,372.9631892527182,43.39424907879567,5.897578640246954
51,376.11255396444966,43.056327951236035,5.855217878274091
52,369.59827663391593,43.06505919629195,5.862226355732895
53,373.7697536438469,44.07588523579395,5.931074898073993
54,367.39379167932225,43.57222370838556,5.889930949436398
55,382.4229633000892,44.26582135553435,5.96312859677893
56,366.09717565821853,42.854738092797945,5.9118312550341985
57,374.65622065386435,44.13772599903617,6.004502664400837
58,383.9031291871559,44.45183864728672,5.98533813690576
59,389.61738358144686,45.27637277062484,6.032983929153502
60,374.39510066115014,43.25589822408721,5.889762103088259
61,359.01957828792064,42.61392538941751,5.827672187737592
62,379.1532226622574,43.578488180956505,5.900889228648088
63,374.20438811534973,43.72971846738199,5.912062537951733
64,378.72724812425025,43.64400168291227,5.909693733913692
65,365.17438047514185,42.104586507391744,5.805807972517539
66,372.77064099649743,41.96234641488143,5.79219877532148
67,407.75602379746323,42.51526342977689,5.839892467175882
68,414.1712519728293,43.76598155780101,5.934417273115924
69,368.4558309720257,41.900079693381244,5.783604877201591
70,371.01190822330983,41.28737838249507,5.732620626922667
71,479.6421149847076,46.636713332078585,6.055753856193363
72,471.62611049742213,46.42620884527371,6.052453467226404
73,416.42302058062216,43.97424287495651,5.921641085091538
74,388.3515136598602,43.079911453517404,5.8466375944182625
75,426.3645936560443,45.3217353858347,5.994366627039872
76,378.1431047034076,43.14977671405462,5.876129466717638
77,374.04487651915065,42.43577271559107,5.834281713943782
78,374.81437274602456,42.90938911287803,5.867493380711773
79,382.14592247309645,45.01909643083107,6.021113732668359
80,387.7545537873516,43.677853216336466,5.914910534235436
81,418.3810208538386,43.68144727316428,5.921661516812843
82,382.2563053942102,41.917181867314135,5.784095283568375
83,371.41063696192947,42.24567668269,5.815523248019181
84,374.3585004130686,42.48228257096658,5.836639284148929
85,384.2239895017128,42.81958841338871,5.858268439300417
86,370.8689826604888,42.230731412181704,5.755225675312553
87,359.7261794983871,42.28071078353041,5.7473675669647575
88,366.30173900934653,42.32653944135651,5.754033290495084
89,382.97979039470044,43.35158404778308,5.832477365891765
90,377.80352852288195,42.73637058603482,5.790869302636995
91,378.5049803726316,42.290963645995134,5.759190187679501
92,400.340829143374,44.52068893552765,5.921490887957295
93,401.8776748236709,43.85519201173557,5.868428062266252
94,408.8711231862466,43.437885085428796,5.853350013259828
95,387.4244140264556,43.174209125398654,5.823782787548275
96,396.0219720254733,43.34165944452361,5.841272207695668
97,395.34498073547843,43.44127606970119,5.859337450951103
98,396.54649190827615,45.40676149984044,5.970627987478662
99,384.6801360423171,44.679316453107695,5.927071196826424
100,383.2341008524256,43.8943714607419,5.890942825107124
