ch,CC,MSE,RMSE,RRMSE
0,0.7771410942077637,0.1888483315706253,0.43456682562828064,0.7356296181678772
1,0.7939065098762512,0.17286516726016998,0.415770560503006,0.6912175416946411
2,0.8554418087005615,0.21656963229179382,0.46537041664123535,0.5197618007659912
3,0.6623518466949463,0.49503108859062195,0.7035844326019287,0.7587801218032837
4,0.8450795412063599,0.27411946654319763,0.5235642194747925,0.5351067781448364
5,0.8854955434799194,0.20874954760074615,0.45689117908477783,0.4671068787574768
6,0.8408318161964417,0.29319819808006287,0.5414777994155884,0.5435417890548706
7,0.8626237511634827,0.25757676362991333,0.5075201988220215,0.5093684196472168
8,0.8774354457855225,0.23578311502933502,0.4855750501155853,0.4866270422935486
9,0.8610243201255798,0.26200559735298157,0.5118648409843445,0.5125393867492676
10,0.8373773694038391,0.20979736745357513,0.4580364227294922,0.5607916712760925
11,0.8479968905448914,0.1970193088054657,0.44386857748031616,0.5391643643379211
12,0.8688298463821411,0.2246277630329132,0.4739491045475006,0.4952769875526428
13,0.8324812650680542,0.2754763662815094,0.5248584151268005,0.5544315576553345
14,0.8822625875473022,0.22348687052726746,0.4727439880371094,0.4748757779598236
15,0.866780698299408,0.24781285226345062,0.497808039188385,0.500002920627594
16,0.8567633032798767,0.21230190992355347,0.4607623219490051,0.518738865852356
17,0.8402121663093567,0.280164510011673,0.5293056964874268,0.5425687432289124
18,0.837590754032135,0.29996567964553833,0.5476912260055542,0.5493847727775574
